mainParentCategoryId,shopId,shopType,shopName,branchName,phoneNo,phoneNo2,cityId,shopGroupId,altName,businessHours,score,avgPrice,score4,defaultReviewCount,shopPower,code,dishTagStrList,tag
121,74667663,20,CONVERSE,丰台万达广场店,,,2,74667663,匡威,"周一至周日
10:00-22:00","产品:7.2,环境:7.2,服务:7.2",0,0,3,35,200,,
210,95991572,10,第一佳大鸡排,万达金街店,13621047202,,2,95991572,,"周一至周日
13:00-19:00","口味:7.4,环境:7.4,服务:7.4",0,0,2,35,200,,
25147,96647798,95,旺家宠物,顺义区板桥店,18701117352,13521778508,2,96647798,,"周一至周日
10:00-21:00","服务:7.2,环境:7.2,划算:7.2",0,0,4,35,200,,
3023,74691231,10,重庆老灶火锅,丰科万达广场店,83681250,,2,74691231,,"周一至周日
10:00-22:00","口味:5.1,环境:6.1,服务:5.7",115,0,316,20,200,,"味道赞:29,服务热情:23,高大上:3,菜品少:17,羊蝎子:10,朋友聚餐:3,价格高:25,分量少:24,性价比低:9,上菜慢:7"
241,97643789,10,库克山冰淇淋,丰台万达广场店,,,2,97643789,,,"口味:7.0,环境:7.2,服务:7.2",0,0,12,35,200,,味道赞:3
121,102300550,20,PUMA,丰台万达广场店,,,2,102300550,,"周一至周日
10:00-21:00","产品:7.2,环境:7.6,服务:7.2",0,0,1,35,200,,
26085,95039765,20,TIAMOFLOWER,丰台万达广场店,,,2,95039765,,"周一至周日
10:00-22:00","产品:7.4,环境:7.6,服务:7.6",0,0,2,35,200,,
217,98210565,10,栗栗家,万达广场丰科店,15650767815,,2,98210565,,"周一至周日
09:00-21:00","口味:6.9,环境:6.9,服务:7.0",0,0,9,30,200,,服务热情:3
32698,83601574,20,元懋翔,丰台万达广场店,83362288-928,,2,83601574,,"周一至周日
10:00-22:00","产品:8.5,环境:8.5,服务:8.5",0,0,12,45,200,,"服务热情:6,环境优雅:3,店大:5"
157,98273322,50,和颜悦色无痕接发,万达店,15811030321,,2,98033636,,"周一至周日
09:00-21:00","效果:7.8,环境:7.8,服务:7.6",0,0,3,40,200,,
1833,74952399,10,甘茶度,丰台万达广场店,13501231651,18910141426,2,74952399,,"周一至周日
10:00-22:00","口味:6.5,环境:6.9,服务:6.7",25,0,100,30,200,,"服务热情:25,味道赞:15,饮品赞:10,价格实惠:6,性价比高:6,回头客:4,午餐:3"
2816,92683535,55,瑞恩钻饰名店,丰台科技园万达广场店,4000908610-125118,,2,92683535,,"周一至周日
10:00-22:00",,0,0,8,40,200,,"服务热情:4,环境优雅:3"
33760,76851946,20,77蒸汽电子烟,丰台万达广场店,,,2,76851946,,"周一至周日
10:00-22:00","产品:7.8,环境:8.0,服务:8.0",0,0,8,40,200,,服务热情:4
157,98129388,50,主流文发,,13621139398,,2,98129388,,"周一至周日
09:30-22:00","效果:7.6,环境:7.7,服务:7.5",0,0,5,35,200,,
